domain,regime,condition,method,seed,metric,value,reference_value,delta,unit,source_artifact,source_sha256
autonomous_driving,clean,clean,none,42,success_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
autonomous_driving,clean,clean,none,42,violation_step_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-42.json,24089ad723013ebb581917283e4a504b20904ec906da5eac2d245f7d2a224d4b
autonomous_driving,clean,clean,none,123,constraint_violation_rate,0.839,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,123,critical_violation_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,123,episode_length,100.0,,,steps,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,123,intervention_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,123,mean_correction_l2,0.0,,,normalized_action,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,123,p95_correction_l2,0.0,,,normalized_action,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,123,reward,-8.72040274432206,,,reward,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,123,success_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,123,violation_step_rate,0.839,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-123.json,01068496b311d9d3cb594346c93f600595d583840fdd63cc71049b19a5d96173
autonomous_driving,clean,clean,none,456,constraint_violation_rate,0.48920454545454545,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,clean,clean,none,456,critical_violation_rate,0.05965909090909091,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,clean,clean,none,456,episode_length,88.0,,,steps,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,clean,clean,none,456,intervention_rate,0.0,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,clean,clean,none,456,mean_correction_l2,0.0,,,normalized_action,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,clean,clean,none,456,p95_correction_l2,0.0,,,normalized_action,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,clean,clean,none,456,reward,-7.549571968284115,,,reward,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,clean,clean,none,456,success_rate,0.15,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,clean,clean,none,456,violation_step_rate,0.33352272727272725,,,fraction,results/safety/baseline/runs/autonomous_driving-seed-456.json,ecb99484e004e60e81312bdb9263b6880545275d43d22d854b91f628f79c06c2
autonomous_driving,gaussian,sigma_0p0,clipping,42,constraint_violation_rate,0.0,0.0,0.0,fraction,results/safety/clipping/runs/autonomous_driving-seed-42.json,e552d50d5ee07d316ee1170ac7f677ac7ce6170aa0cd11edb1dce02a2c7c3b4d
autonomous_driving,gaussian,sigma_0p0,clipping,42,critical_violation_rate,0.0,0.0,0.0,fraction,results/safety/clipping/runs/autonomous_driving-seed-42.json,e552d50d5ee07d316ee1170ac7f677ac7ce6170aa0cd11edb1dce02a2c7c3b4d
autonomous_driving,gaussian,sigma_0p0,clipping,42,episode_length,100.0,,,steps,results/safety/clipping/runs/autonomous_driving-seed-42.json,e552d50d5ee07d316ee1170ac7f677ac7ce6170aa0cd11edb1dce02a2c7c3b4d
autonomous_driving,gaussian,sigma_0p0,clipping,42,intervention_rate,0.0,,,fraction,results/safety/clipping/runs/autonomous_driving-seed-42.json,e552d50d5ee07d316ee1170ac7f677ac7ce6170aa0cd11edb1dce02a2c7c3b4d
autonomous_driving,gaussian,sigma_0p0,clipping,42,mean_correction_l2,0.0,,,normalized_action,results/safety/clipping/runs/autonomous_driving-seed-42.json,e552d50d5ee07d316ee1170ac7f677ac7ce6170aa0cd11edb1dce02a2c7c3b4d
autonomous_driving,gaussian,sigma_0p0,clipping,42,reward,-11.330714319001789,-11.330714319001789,0.0,reward,results/safety/clipping/runs/autonomous_driving-seed-42.json,e552d50d5ee07d316ee1170ac7f677ac7ce6170aa0cd11edb1dce02a2c7c3b4d
autonomous_driving,gaussian,sigma_0p0,clipping,42,success_rate,0.0,0.0,0.0,fraction,results/safety/clipping/runs/autonomous_driving-seed-42.json,e552d50d5ee07d316ee1170ac7f677ac7ce6170aa0cd11edb1dce02a2c7c3b4d
autonomous_driving,gaussian,sigma_0p0,clipping,42,violation_step_rate,0.0,0.0,0.0,fraction,results/safety/clipping/runs/autonomous_driving-seed-42.json,e552d50d5ee07d316ee1170ac7f677ac7ce6170aa0cd11edb1dce02a2c7c3b4d
autonomous_driving,gaussian,sigma_0p0,clipping,123,constraint_violation_rate,0.0,0.0,0.0,fraction,results/safety/clipping/runs/autonomous_driving-seed-123.json,af84823228ab8ca7a30b9a0f1196e27d1de807f7f0909bde6d19747b50200132
autonomous_driving,gaussian,sigma_0p0,clipping,123,critical_violation_rate,0.0,0.0,0.0,fraction,results/safety/clipping/runs/autonomous_driving-seed-123.json,af84823228ab8ca7a30b9a0f1196e27d1de807f7f0909bde6d19747b50200132
