domain,method,perturbation_family,perturbation_name,principal_seed,violation_step_rate,critical_violation_step_rate,constraint_violation_rate,reward,success_rate,intervention_rate,mean_correction_l2,violation_delta_from_clean,critical_delta_from_clean,constraint_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,steps_object_grasped
autonomous_driving,none,lane_offset,lane_offset_minus_0p10,456,0.3331438317225696,0.059124502558271744,0.48834565093803295,-14.601656637284771,0.15,0.0,0.0,-0.0003788955501576319,-0.0005345883508191679,-0.0008588945165124984,-7.052084669000656,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_plus_0p05,123,0.0,0.0,0.0,-12.118477386073868,0.0,0.8465,0.2496542912721634,0.0,0.0,0.0,-3.530446057317704,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_plus_0p05,42,0.0,0.0,0.0,-11.268178199241216,0.0,0.0,0.0,0.0,0.0,0.0,0.06253611976057272,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_plus_0p05,456,0.0,0.0,0.0,6.283685469246807,1.0,0.4135,0.19916054832935334,0.0,0.0,0.0,2.0026167704568865,0.0,0.0,0.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_plus_0p05,123,0.0,0.0,0.0,-12.118477386073868,0.0,0.8465,0.2496542912721634,0.0,0.0,0.0,-3.530446057317704,0.0,0.0,1.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_plus_0p05,42,0.0,0.0,0.0,-11.268178199241216,0.0,0.0,0.0,0.0,0.0,0.0,0.06253611976057272,0.0,0.0,1.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_plus_0p05,456,0.0,0.0,0.0,6.283685469246807,1.0,0.4135,0.19916054832935334,0.0,0.0,0.0,2.0026167704568865,0.0,0.0,1.0,0
autonomous_driving,none,lane_offset,lane_offset_plus_0p05,123,0.8475,0.0,0.8475,-12.26176915142325,0.0,0.0,0.0,0.008500000000000063,0.0,0.008500000000000063,-3.54136640710119,0.0,0.0,0.0,0
autonomous_driving,none,lane_offset,lane_offset_plus_0p05,42,0.0,0.0,0.0,-11.268178199241216,0.0,0.0,0.0,0.0,0.0,0.0,0.06253611976057272,0.0,0.0,0.0,0
autonomous_driving,none,lane_offset,lane_offset_plus_0p05,456,0.33352272727272725,0.05909090909090909,0.48863636363636365,-5.588335039893766,0.15,0.0,0.0,0.0,-0.0005681818181818218,-0.000568181818181801,1.961236928390349,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_plus_0p10,123,0.0,0.0,0.0,-15.79254429548271,0.0,0.859,0.2547006697654724,0.0,0.0,0.0,-7.204512966726545,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_plus_0p10,42,0.0,0.0,0.0,-11.253461968829884,0.0,0.0,0.0,0.0,0.0,0.0,0.07725235017190535,0.0,0.0,0.0,0
autonomous_driving,clipping,lane_offset,lane_offset_plus_0p10,456,0.0,0.0,0.0,3.6613627106346742,1.0,0.4135,0.19942059004306792,0.0,0.0,0.0,-0.6197059881552462,0.0,0.0,0.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_plus_0p10,123,0.0,0.0,0.0,-15.79254429548271,0.0,0.859,0.2547006697654724,0.0,0.0,0.0,-7.204512966726545,0.0,0.0,1.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_plus_0p10,42,0.0,0.0,0.0,-11.253461968829884,0.0,0.0,0.0,0.0,0.0,0.0,0.07725235017190535,0.0,0.0,1.0,0
autonomous_driving,lyapunov,lane_offset,lane_offset_plus_0p10,456,0.0,0.0,0.0,3.6613627106346742,1.0,0.4135,0.19942059004306792,0.0,0.0,0.0,-0.6197059881552462,0.0,0.0,1.0,0
autonomous_driving,none,lane_offset,lane_offset_plus_0p10,123,0.8585,0.0,0.8585,-15.946293025835223,0.0,0.0,0.0,0.019500000000000073,0.0,0.019500000000000073,-7.225890281513163,0.0,0.0,0.0,0
autonomous_driving,none,lane_offset,lane_offset_plus_0p10,42,0.0,0.0,0.0,-11.253461968829884,0.0,0.0,0.0,0.0,0.0,0.0,0.07725235017190535,0.0,0.0,0.0,0
autonomous_driving,none,lane_offset,lane_offset_plus_0p10,456,0.33427922814982974,0.060158910329171394,0.49035187287173665,-6.78190598287162,0.15,0.0,0.0,0.000756500877102495,0.0004998194200804829,0.0011473274171912018,0.7676659854124956,0.0,0.0,0.0,0
autonomous_driving,clipping,obstacle_distance,obstacle_distance_plus_0p05,123,0.0,0.0,0.0,-8.685273887244882,0.0,0.8345,0.24292986851930617,0.0,0.0,0.0,-0.09724255848871799,0.0,0.0,0.0,0
autonomous_driving,clipping,obstacle_distance,obstacle_distance_plus_0p05,42,0.0,0.0,0.0,-11.348676867846994,0.0,0.0,0.0,0.0,0.0,0.0,-0.01796254884520465,0.0,0.0,0.0,0
autonomous_driving,clipping,obstacle_distance,obstacle_distance_plus_0p05,456,0.0,0.0,0.0,4.37646499683128,1.0,0.4035,0.19372715306282043,0.0,0.0,0.0,0.09539629804135963,0.0,0.0,0.0,0
