domain,method,perturbation_family,perturbation_name,principal_seed,perturbed_violation_step_rate,executed_violation_step_rate,executed_constraint_violation_rate,critical_violation_step_rate,mean_reward,success_rate,intervention_rate,mean_safety_correction_l2,p95_safety_correction_l2,recovery_rate,within_filter_violation_reduction,executed_violation_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,selected_lower_than_perturbed_rate,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,environment_interface_adjustment_rate,proposed_to_perturbed_gripper_semantic_change_rate,perturbed_to_executed_gripper_semantic_change_rate,unsafe_perturbed_steps,recovered_unsafe_steps,unresolved_unsafe_steps,steps_object_grasped,interventions_while_grasped,perturbed_unsafe_steps_while_grasped
autonomous_driving,lyapunov,braking,braking_minus_0p10,456,0.2015,0.1885,0.1885,0.0,3.69477115640714,1.0,0.2615,0.13763668251037597,0.8221468329429626,0.06451612903225806,0.06451612903225812,0.1885,-0.5862975423827805,0.0,0.2615,0.001,0.9725,0.0,0.0,0.0,403,26,377,0,0,0
autonomous_driving,none,braking,braking_minus_0p10,123,0.8395,0.8395,0.8395,0.0,-8.488283122424628,0.0,0.0,0.0,0.0,0.0,0.0,0.000500000000000056,0.23211962189743218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679,0,1679,0,0,0
autonomous_driving,none,braking,braking_minus_0p10,42,0.0,0.0,0.0,0.0,-11.102353417465727,0.0,0.0,0.0,0.0,,,0.0,0.22836090153606214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,none,braking,braking_minus_0p10,456,0.11799410029498525,0.11799410029498525,0.21887905604719765,0.05781710914454277,-7.241947695670371,0.15,0.0,0.0,0.0,0.0,0.0,-0.215528626977742,0.3076242726137446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0,200,0,0,0
autonomous_driving,clipping,braking,braking_minus_0p25,123,0.839,0.0,0.0,0.0,-8.098827262958542,0.0,0.839,0.2465591625571251,0.3334314823150635,1.0,1.0,0.0,0.48920406579762243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678,1678,0,0,0,0
autonomous_driving,clipping,braking,braking_minus_0p25,42,0.0,0.0,0.0,0.0,-11.755319911296027,0.0,0.0,0.0,0.0,,,0.0,-0.4246055922942382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,clipping,braking,braking_minus_0p25,456,0.2605,0.2605,0.474,0.164,3.7343328089057772,1.0,0.825,0.1760180348008871,0.52828449010849,0.0,0.0,0.2605,-0.5467358898841432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521,0,521,0,0,0
autonomous_driving,lyapunov,braking,braking_minus_0p25,123,0.839,0.0,0.0,0.0,-8.098827262958542,0.0,0.839,0.2465591625571251,0.3334314823150635,1.0,1.0,0.0,0.48920406579762243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1678,1678,0,0,0,0
autonomous_driving,lyapunov,braking,braking_minus_0p25,42,0.0,0.0,0.0,0.0,-11.755319911296027,0.0,0.0,0.0,0.0,,,0.0,-0.4246055922942382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,lyapunov,braking,braking_minus_0p25,456,0.193,0.193,0.193,0.0,3.723306212771281,1.0,0.835,0.19222411651909352,0.9617621898651123,0.0,0.0,0.193,-0.5577624860186394,0.0,0.2705,0.0005,0.972,0.0,0.0,0.0,386,0,386,0,0,0
