domain,method,sigma,principal_seed,violation_step_rate,critical_violation_step_rate,constraint_violation_rate,reward,success_rate,intervention_rate,mean_correction_l2,violation_delta_from_clean,critical_delta_from_clean,constraint_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,steps_object_grasped
robotics,lyapunov,0.1,42,0.0,0.0,0.0,0.8607602412108317,0.0,0.039,0.017705756694078447,0.0,0.0,0.0,0.1658272707643963,0.0,0.0,1.0,227
robotics,lyapunov,0.01,456,0.0,0.0,0.0,0.6367829686864632,0.0,0.0,0.0,0.0,0.0,0.0,2.5720690989272654e-06,0.0,0.0,1.0,0
robotics,lyapunov,0.05,456,0.0,0.0,0.0,0.6211357554741814,0.0,0.0,0.0,0.0,0.0,0.0,-0.01564464114318287,0.0,0.0,1.0,0
robotics,lyapunov,0.1,456,0.0,0.0,0.0,0.537864920899583,0.0,0.001,0.0003043849468231201,0.0,0.0,0.0,-0.09891547571778125,0.0,0.0,1.0,0
robotics,none,0.01,123,0.0085,0.0085,0.0085,0.6582750650695265,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012194639840941157,0.0,0.0,0.0,0
robotics,none,0.05,123,0.0085,0.008,0.0085,0.6420167553109996,0.0,0.0,0.0,0.0,-0.0005000000000000004,0.0,-0.01747777374262105,0.0,0.0,0.0,0
robotics,none,0.1,123,0.0075,0.0065,0.0075,0.6135756274410027,0.0,0.0,0.0,-0.0010000000000000009,-0.002000000000000001,-0.0010000000000000009,-0.04591890161261791,0.0,0.0,0.0,70
robotics,none,0.01,42,0.037,0.02,0.0425,0.5945077048568602,0.0,0.0,0.0,0.0015000000000000013,0.0015000000000000013,-0.009499999999999995,-0.007755184324416797,0.0,0.0,0.0,0
robotics,none,0.05,42,0.0325,0.021,0.035,0.6741498384550947,0.0,0.0,0.0,-0.0029999999999999957,0.0025000000000000022,-0.016999999999999994,0.07188694927381767,0.0,0.0,0.0,60
robotics,none,0.1,42,0.075,0.021,0.14,0.6983282805298976,0.0,0.0,0.0,0.0395,0.0025000000000000022,0.08800000000000002,0.09606539134862058,0.0,0.0,0.0,227
robotics,none,0.01,456,0.0,0.0,0.0,0.6367829686864632,0.0,0.0,0.0,0.0,0.0,0.0,2.5720690989272654e-06,0.0,0.0,0.0,0
robotics,none,0.05,456,0.0,0.0,0.0,0.6211357554741814,0.0,0.0,0.0,0.0,0.0,0.0,-0.01564464114318287,0.0,0.0,0.0,0
robotics,none,0.1,456,0.0025,0.0,0.003,0.5377108126747852,0.0,0.0,0.0,0.0025,0.0,0.003,-0.09906958394257914,0.0,0.0,0.0,0
