domain,method,principal_seed,sigma,violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,critical_delta_from_clean,constraint_violation_rate,constraint_delta_from_clean,reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,mean_noise_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,source
autonomous_driving,none,123,0.01,0.8295,-0.009499999999999953,0.0,0.0,0.8295,-0.009499999999999953,-8.758871646983867,-0.03846890266180658,0.0,0.0,0.0,0.0,0.0,0.01885684373881668,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-123-sigma-0p01.json
autonomous_driving,none,123,0.05,0.768,-0.07099999999999995,0.0,0.0,0.768,-0.07099999999999995,-8.85423914740187,-0.13383640307981004,0.0,0.0,0.0,0.0,0.0,0.09426421787776053,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-123-sigma-0p05.json
autonomous_driving,none,123,0.1,0.6905,-0.14849999999999997,0.0,0.0,0.6905,-0.14849999999999997,-8.731277076462316,-0.010874332140256016,0.0,0.0,0.0,0.0,0.0,0.18993146084621548,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-123-sigma-0p10.json
autonomous_driving,none,42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-11.299099054512856,0.03161526448893248,0.0,0.0,0.0,0.0,0.0,0.01870270391870872,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-42-sigma-0p01.json
autonomous_driving,none,42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-11.404036705971789,-0.07332238697000015,0.0,0.0,0.0,0.0,0.0,0.09350435075256973,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-42-sigma-0p05.json
autonomous_driving,none,42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-11.287350525499194,0.04336379350259456,0.0,0.0,0.0,0.0,0.0,0.18716779105365278,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-42-sigma-0p10.json
autonomous_driving,none,456,0.01,0.33181818181818185,-0.001704545454545403,0.05965909090909091,0.0,0.48920454545454545,0.0,-7.580409712971241,-0.0308377446871253,0.15,0.0,0.0,0.0,0.0,0.018867014766014604,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-456-sigma-0p01.json
autonomous_driving,none,456,0.05,0.3354143019296254,0.001891574656898154,0.05959137343927355,-6.771746981736049e-05,0.4875141884222474,-0.0016903570322980288,-7.735191891402646,-0.18561992311853093,0.15,0.0,0.0,0.0,0.0,0.09494480248339787,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-456-sigma-0p05.json
autonomous_driving,none,456,0.1,0.33200908059023837,-0.0015136466824888783,0.05959137343927355,-6.771746981736049e-05,0.48864926220204313,-0.0005552832525023144,-7.959714856710419,-0.41014288842630364,0.15,0.0,0.0,0.0,0.0,0.18685910851926152,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\autonomous-driving-none-seed-456-sigma-0p10.json
robotics,clipping,123,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.7007750650695265,-0.0012194639840941157,0.0,0.0,0.0085,0.004422053754329682,0.5334157943725586,0.023420131465652957,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-clipping-seed-123-sigma-0p01.json
