domain,perturbation_family,perturbation_name,method,principal_seed,violation_step_rate,clean_violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,constraint_violation_rate,reward,clean_reward,reward_delta_from_clean,success_rate,clean_success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,interventions_while_grasped,source
autonomous_driving,lane_offset,lane_offset_plus_0p05,clipping,123,0.0,0.0,0.0,0.0,0.0,-12.118477386073868,-8.588031328756164,-3.530446057317704,0.0,0.0,0.0,0.8465,0.2496542912721634,0.4537055492401123,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-clipping-seed-123.json
autonomous_driving,lane_offset,lane_offset_plus_0p05,clipping,42,0.0,0.0,0.0,0.0,0.0,-11.268178199241216,-11.330714319001789,0.06253611976057272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-clipping-seed-42.json
autonomous_driving,lane_offset,lane_offset_plus_0p05,clipping,456,0.0,0.0,0.0,0.0,0.0,6.283685469246807,4.2810686987899205,2.0026167704568865,1.0,1.0,0.0,0.4135,0.19916054832935334,0.5196671485900879,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-clipping-seed-456.json
autonomous_driving,lane_offset,lane_offset_plus_0p05,lyapunov,123,0.0,0.0,0.0,0.0,0.0,-12.118477386073868,-8.588031328756164,-3.530446057317704,0.0,0.0,0.0,0.8465,0.2496542912721634,0.4537055492401123,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-lyapunov-seed-123.json
autonomous_driving,lane_offset,lane_offset_plus_0p05,lyapunov,42,0.0,0.0,0.0,0.0,0.0,-11.268178199241216,-11.330714319001789,0.06253611976057272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-lyapunov-seed-42.json
autonomous_driving,lane_offset,lane_offset_plus_0p05,lyapunov,456,0.0,0.0,0.0,0.0,0.0,6.283685469246807,4.2810686987899205,2.0026167704568865,1.0,1.0,0.0,0.4135,0.19916054832935334,0.5196671485900879,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-lyapunov-seed-456.json
autonomous_driving,lane_offset,lane_offset_plus_0p05,none,123,0.8475,0.839,0.008500000000000063,0.0,0.8475,-12.26176915142325,-8.72040274432206,-3.54136640710119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-none-seed-123.json
autonomous_driving,lane_offset,lane_offset_plus_0p05,none,42,0.0,0.0,0.0,0.0,0.0,-11.268178199241216,-11.330714319001789,0.06253611976057272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-none-seed-42.json
autonomous_driving,lane_offset,lane_offset_plus_0p05,none,456,0.33352272727272725,0.33352272727272725,0.0,0.05909090909090909,0.48863636363636365,-5.588335039893766,-7.549571968284115,1.961236928390349,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p05-none-seed-456.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,clipping,123,0.0,0.0,0.0,0.0,0.0,-15.79254429548271,-8.588031328756164,-7.204512966726545,0.0,0.0,0.0,0.859,0.2547006697654724,0.4676218032836914,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-clipping-seed-123.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,clipping,42,0.0,0.0,0.0,0.0,0.0,-11.253461968829884,-11.330714319001789,0.07725235017190535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-clipping-seed-42.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,clipping,456,0.0,0.0,0.0,0.0,0.0,3.6613627106346742,4.2810686987899205,-0.6197059881552462,1.0,1.0,0.0,0.4135,0.19942059004306792,0.5201668739318848,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-clipping-seed-456.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,lyapunov,123,0.0,0.0,0.0,0.0,0.0,-15.79254429548271,-8.588031328756164,-7.204512966726545,0.0,0.0,0.0,0.859,0.2547006697654724,0.4676218032836914,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-lyapunov-seed-123.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,lyapunov,42,0.0,0.0,0.0,0.0,0.0,-11.253461968829884,-11.330714319001789,0.07725235017190535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-lyapunov-seed-42.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,lyapunov,456,0.0,0.0,0.0,0.0,0.0,3.6613627106346742,4.2810686987899205,-0.6197059881552462,1.0,1.0,0.0,0.4135,0.19942059004306792,0.5201668739318848,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-lyapunov-seed-456.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,none,123,0.8585,0.839,0.019500000000000073,0.0,0.8585,-15.946293025835223,-8.72040274432206,-7.225890281513163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-none-seed-123.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,none,42,0.0,0.0,0.0,0.0,0.0,-11.253461968829884,-11.330714319001789,0.07725235017190535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-none-seed-42.json
autonomous_driving,lane_offset,lane_offset_plus_0p10,none,456,0.33427922814982974,0.33352272727272725,0.000756500877102495,0.060158910329171394,0.49035187287173665,-6.78190598287162,-7.549571968284115,0.7676659854124956,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-lane-offset-plus-0p10-none-seed-456.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,clipping,123,0.0,0.0,0.0,0.0,0.0,-8.685273887244882,-8.588031328756164,-0.09724255848871799,0.0,0.0,0.0,0.8345,0.24292986851930617,0.4374678134918213,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-clipping-seed-123.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,clipping,42,0.0,0.0,0.0,0.0,0.0,-11.348676867846994,-11.330714319001789,-0.01796254884520465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-clipping-seed-42.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,clipping,456,0.0,0.0,0.0,0.0,0.0,4.37646499683128,4.2810686987899205,0.09539629804135963,1.0,1.0,0.0,0.4035,0.19372715306282043,0.5184503793716431,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-clipping-seed-456.json
