domain,perturbation_name,perturbation_family,method,principal_seed,perturbed_violation_step_rate,executed_violation_step_rate,executed_violation_delta_from_clean,unsafe_perturbed_steps,recovered_unsafe_steps,unresolved_unsafe_steps,recovery_rate,within_filter_violation_reduction,mean_reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_perturbation_l2,mean_safety_correction_l2,p95_safety_correction_l2,environment_interface_adjustment_rate,strict_lyapunov_decrease_rate,selected_lower_than_perturbed_rate,steps_object_grasped,proposed_to_perturbed_gripper_semantic_change_rate,perturbed_to_executed_gripper_semantic_change_rate
autonomous_driving,braking_plus_0p10,braking,lyapunov,42,0.0,0.0,0.0,0,0,0,,,-11.552453678018578,-0.2217393590167891,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p10,braking,lyapunov,456,0.8295,0.0,0.0,1659,1659,0,1.0,1.0,-1.7158271713913469,-5.996895870181268,0.2,-0.8,0.8295,0.10000000149011612,0.6140203703641891,0.767488956451416,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p10,braking,none,123,0.8385,0.8385,-0.0004999999999999449,1677,0,1677,0.0,0.0,-8.990189391345426,-0.2697866470233663,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p10,braking,none,42,0.0,0.0,0.0,0,0,0,,,-11.552453678018578,-0.2217393590167891,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p10,braking,none,456,0.8685,0.8685,0.5349772727272728,1737,0,1737,0.0,0.0,4.115546386044188,11.665118354328303,1.0,0.85,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,clipping,123,0.838,0.0,0.0,1676,1676,0,1.0,1.0,-9.328177573829532,-0.7401462450733671,0.0,0.0,0.838,0.25,0.24545385378599166,0.3326132297515869,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,clipping,42,0.0,0.0,0.0,0,0,0,,,-11.930551190990247,-0.5998368719884581,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,clipping,456,1.0,0.0,0.0,2000,2000,0,1.0,1.0,-4.186990539427014,-8.468059238216934,0.0,-1.0,1.0,0.25,0.7665456992387771,0.7900912761688232,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,lyapunov,123,0.838,0.0,0.0,1676,1676,0,1.0,1.0,-9.328177573829532,-0.7401462450733671,0.0,0.0,0.838,0.25,0.24545385378599166,0.3326132297515869,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,lyapunov,42,0.0,0.0,0.0,0,0,0,,,-11.930551190990247,-0.5998368719884581,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,lyapunov,456,1.0,0.0,0.0,2000,2000,0,1.0,1.0,-4.186990539427014,-8.468059238216934,0.0,-1.0,1.0,0.25,0.7665456992387771,0.7900912761688232,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,none,123,0.8385,0.8385,-0.0004999999999999449,1677,0,1677,0.0,0.0,-9.466785620058955,-0.7463828757368951,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,none,42,0.0,0.0,0.0,0,0,0,,,-11.930551190990247,-0.5998368719884581,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_plus_0p25,braking,none,456,1.0,1.0,0.6664772727272728,2000,0,2000,0.0,0.0,4.457451274603651,12.007023242887765,0.9,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,clipping,123,0.2925,0.0,0.0,585,585,0,1.0,1.0,-22.573891126503202,-13.985859797747038,0.0,0.0,0.2925,0.10000000149011612,0.08049866181612014,0.2861745357513428,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,clipping,42,0.1465,0.1465,0.1465,293,0,293,0.0,0.0,-47.853571378019595,-36.52285705901781,0.0,0.0,0.1465,0.10000000149011612,0.010367757324129343,0.07594440132379532,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,clipping,456,0.4555,0.0,0.0,911,911,0,1.0,1.0,0.37376412276440485,-3.9073045760255156,1.0,0.0,0.4555,0.10000000149011612,0.25885028529167176,0.5934627056121826,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,lyapunov,123,0.2925,0.0,0.0,585,585,0,1.0,1.0,-22.573891126503202,-13.985859797747038,0.0,0.0,0.2925,0.10000000149011612,0.08049866181612014,0.2861745357513428,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,lyapunov,42,0.0,0.0205,0.0205,0,0,0,,,-46.6510756531428,-35.32036133414101,0.0,0.0,0.0235,0.10000000149011612,0.018423303000628947,0.0,0.0,0.0,0.0235,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,lyapunov,456,0.4555,0.0,0.0,911,911,0,1.0,1.0,0.37376412276440485,-3.9073045760255156,1.0,0.0,0.4555,0.10000000149011612,0.25885028529167176,0.5934627056121826,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,none,123,0.296,0.296,-0.5429999999999999,592,0,592,0.0,0.0,-22.61298268740837,-13.892579943086309,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,none,42,0.1465,0.1465,0.1465,293,0,293,0.0,0.0,-49.19301359090074,-37.86229927189895,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p10,steering,none,456,0.37735849056603776,0.37735849056603776,0.043835763293310515,660,0,660,0.0,0.0,-8.603916374936066,-1.0543444066519507,0.15,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,clipping,123,0.0425,0.0,0.0,85,85,0,1.0,1.0,-45.282579324928854,-36.69454799617269,0.0,0.0,0.0425,0.25,0.012794410467147826,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,clipping,42,0.628,0.628,0.628,1256,0,1256,0.0,0.0,-80.7119615240569,-69.38124720505512,0.0,0.0,0.628,0.25,0.1281103944182396,0.2289494276046753,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,clipping,456,0.5335,0.0,0.0,1067,1067,0,1.0,1.0,-19.666575483274922,-23.947644182064842,0.95,-0.050000000000000044,0.5335,0.25,0.363335239470005,0.6972706317901611,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,lyapunov,123,0.0425,0.0,0.0,85,85,0,1.0,1.0,-45.282579324928854,-36.69454799617269,0.0,0.0,0.0425,0.25,0.012794410467147826,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,lyapunov,42,0.0245,0.157,0.157,49,0,49,0.0,-5.408163265306123,-65.67772866368225,-54.34701434468046,0.0,0.0,0.2125,0.25,0.16413322618603707,1.035475730895996,0.0,0.018,0.2125,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,lyapunov,456,0.5335,0.0,0.0,1067,1067,0,1.0,1.0,-19.666575483274922,-23.947644182064842,0.95,-0.050000000000000044,0.5335,0.25,0.363335239470005,0.6972706317901611,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,none,123,0.043,0.043,-0.7959999999999999,86,0,86,0.0,0.0,-45.28317413456205,-36.562771390239995,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,none,42,0.6006441223832528,0.6006441223832528,0.6006441223832528,1119,0,1119,0.0,0.0,-104.97640301703656,-93.64568869803477,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_minus_0p25,steering,none,456,0.46317606444188725,0.46317606444188725,0.12965333716916,805,0,805,0.0,0.0,-24.289223877455093,-16.739651909170977,0.15,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_plus_0p10,steering,clipping,123,0.989,0.0,0.0,1978,1978,0,1.0,1.0,-11.411104961400405,-2.82307363264424,0.0,0.0,0.989,0.10000000149011612,0.33423421102762224,0.38392603397369385,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_plus_0p10,steering,clipping,42,0.2175,0.1685,0.1685,435,98,337,0.22528735632183908,0.22528735632183902,-48.02609483974228,-36.695380520740486,0.0,0.0,0.2175,0.10000000149011612,0.0408474628739059,0.2664642333984375,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_plus_0p10,steering,clipping,456,0.377,0.0,0.0,754,754,0,1.0,1.0,-6.255442760054581,-10.536511458844501,1.0,0.0,0.377,0.10000000149011612,0.14522713148593902,0.41602039337158203,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,steering_plus_0p10,steering,lyapunov,123,0.989,0.0,0.0,1978,1978,0,1.0,1.0,-11.411104961400405,-2.82307363264424,0.0,0.0,0.989,0.10000000149011612,0.33423421102762224,0.38392603397369385,0.0,0.0,0.0,0,0.0,0.0
